"파일명","위안화가격","적용환율","원가원화","판매가_50프로마진"
"Image_20260816135806_215_9.jpg","9","205","1800","2700"
"Image_20260816135807_216_9.jpg",,"205",,
"Image_20260816135808_217_9.jpg",,"205",,
"Image_20260816135809_218_9.jpg",,"205",,
"Image_20260816135810_219_9.jpg","7","205","1400","2100"
"Image_20260816135811_220_9.jpg",,"205",,
"Image_20260816135812_221_9.jpg",,"205",,
"Image_20260816135813_222_9.jpg","7","205","1400","2100"
"Image_20260816135814_223_9.jpg",,"205",,
"Image_20260816135816_224_9.jpg",,"205",,
"Image_20260816135817_225_9.jpg",,"205",,
"Image_20260816135818_226_9.jpg",,"205",,
"Image_20260816135819_227_9.jpg",,"205",,
"Image_20260816140219_229_9.jpg",,"205",,
"Image_20260816140220_230_9.jpg",,"205",,
"Image_20260816140222_231_9.jpg",,"205",,
"Image_20260816140223_232_9.jpg",,"205",,
"Image_20260816140224_233_9.jpg",,"205",,
"Image_20260816140226_234_9.jpg",,"205",,
"Image_20260816140227_235_9.jpg",,"205",,
"Image_20260816140228_236_9.jpg",,"205",,
"Image_20260816140230_237_9.jpg",,"205",,
"Image_20260816140231_238_9.jpg",,"205",,
"Image_20260816140233_239_9.jpg","7","205","1400","2100"
"Image_20260816140234_240_9.jpg",,"205",,
